topk,fidp,fidm
1,0.020177315805564047,0.8959798226841944
5,0.05395903393457658,0.8760317945582391
10,0.09591867930296545,0.8263527973096912
15,0.14070620605319475,0.7613115255273617
20,0.18113726689085907,0.7044481809844084
30,0.23616630999694282,0.6514827269948028
40,0.2630693977376949,0.622668908590645
50,0.28378171812901254,0.620605319474167
